symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
ILINK,8.5,8.5,8.5,8.5,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
ILM,20.025,19.05,25.0,17.0,4.0,,1970-01-01,20403.0,yfinance.info/recommendations
IMH,,,,,,,,,yfinance.info/recommendations
IMPACT,11.2,11.2,11.2,11.2,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
IND,,,,,,,,,yfinance.info/recommendations
INET,5.475,5.475,5.85,5.1,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
INETREIT,12.3,12.3,12.3,12.3,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
INGRS,,,,,,,,,yfinance.info/recommendations
INOX,,,,,,,,,yfinance.info/recommendations
INSET,1.85,1.85,1.85,1.85,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
INSURE,,,,,,,,,yfinance.info/recommendations
IP,,,,,,,,,yfinance.info/recommendations
IRC,12.4,12.4,12.4,12.4,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
IRCP,,,,,,,,,yfinance.info/recommendations
IROYAL,,,,,,,,,yfinance.info/recommendations
IRPC,0.92714,0.875,1.2,0.75,14.0,3.78571,1970-01-01,20403.0,yfinance.info/recommendations
ISSARA,,,,,,,,,yfinance.info/recommendations
IT,,,,,,,,,yfinance.info/recommendations
ITC,19.15,18.5,25.25,14.5,11.0,1.45455,1970-01-01,20403.0,yfinance.info/recommendations
ITD,0.54,0.54,0.54,0.54,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
ITEL,2.07,2.07,2.1,2.04,2.0,1.0,1970-01-01,20403.0,yfinance.info/recommendations
ITNS,,,,,,,,,yfinance.info/recommendations
ITTHI,,,,,,,,,yfinance.info/recommendations
IVF,,,,,,,,,yfinance.info/recommendations
IVL,24.17857,25.0,28.1,18.0,14.0,1.71429,1970-01-01,20403.0,yfinance.info/recommendations
J,,,,,,,,,yfinance.info/recommendations
JAK,,,,,,,,,yfinance.info/recommendations
JAS,,,,,,,,,yfinance.info/recommendations
JCK,,,,,,,,,yfinance.info/recommendations
JCKH,,,,,,,,,yfinance.info/recommendations
JCT,,,,,,,,,yfinance.info/recommendations
JDF,,,,,,,,,yfinance.info/recommendations
JMART,,,,,,,,,yfinance.info/recommendations
JMT,12.29375,11.725,19.0,8.5,8.0,3.625,1970-01-01,20403.0,yfinance.info/recommendations
JPARK,5.95,5.85,7.4,4.6,3.0,,1970-01-01,20403.0,yfinance.info/recommendations
JR,,,,,,,,,yfinance.info/recommendations
JSP,,,,,,,,,yfinance.info/recommendations
JTS,,,,,,,,,yfinance.info/recommendations
JUBILE,9.0,9.0,9.0,9.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
K,,,,,,,,,yfinance.info/recommendations
KAMART,12.0,12.0,12.0,12.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
KASET,,,,,,,,,yfinance.info/recommendations
KBANK,187.6,190.0,216.0,150.0,19.0,2.0,1970-01-01,20403.0,yfinance.info/recommendations
KBS,,,,,,,,,yfinance.info/recommendations
KC,,,,,,,,,yfinance.info/recommendations
KCAR,,,,,,,,,yfinance.info/recommendations
KCC,,,,,,,,,yfinance.info/recommendations
KCE,24.47273,25.0,31.0,16.0,11.0,2.81818,1970-01-01,20403.0,yfinance.info/recommendations
KCG,11.425,11.25,12.2,11.0,4.0,,1970-01-01,20403.0,yfinance.info/recommendations
KCM,,,,,,,,,yfinance.info/recommendations
KDH,,,,,,,,,yfinance.info/recommendations
KGEN,,,,,,,,,yfinance.info/recommendations
